BARCODE,ITEM_ID,STOREID,ORIGINAL_PRICE,CURRENT_PRICE,QTY_MARKDOWN,QTY_ON_HAND
1007317041756,6255519,678,9,8.1,67,1
1007360003032,6463011,686,9,8.1,68,1
1007420351001,1707196,687,9,8.1,68,1
1007420351002,1707193,69,9,8.1,69,1
1007420351015,1707191,698,9,8.1,69,1
1007420351201,1991117,709,9,8.1,70,1
1007420351202,1707184,720,9,8.1,72,1
1007420351215,1707183,724,9,8.1,72,1
1007420351216,1707182,728,9,8.1,72,1
1007536500362,4059519,732,9,8.1,73,1
1007555160026,4438142,738,9,8.1,73,1
1007560907827,2210784,749,9,8.1,74,1
1007563220682,12922511,756,9,8.1,75,1
1007650002014,5081008,759,9,8.1,75,1
1007650012144,5081003,765,9,8.1,76,1
1007650019601,5081007,768,9,8.1,76,1
1007650061167,5081006,780,9,8.1,78,1
1007650080188,5081002,785,9,8.1,78,1
1007701300052,10129553,789,9,8.1,78,1
1007701301932,10140508,790,9,8.1,79,1
1007758917691,4223014,794,9,8.1,79,1
1008037816750,2167090,796,9,8.1,79,1
1008296430248,1725341,798,9,8.1,79,1
1008296430251,1725338,94,9,8.1,94,1
1008610117,12709012,29,9,8.1,29,1
1008610343,1888970,426,9,8.1,42,1
1008610344,1888936,431,9,8.1,43,1
1008610345,1888927,446,9,8.1,44,1
1008610371,1888925,487,9,8.1,48,1
1008610414,2125773,54,9,8.1,54,1
1008664066,1011481,556,9,8.1,55,1
1008664082,2241808,599,9,8.1,59,1
1008669008,1031725,630,9,8.1,63,1
1008677009,3515001,658,9,8.1,65,1
1008976360140,14066011,678,9,8.1,67,1
1009103870395,5844024,686,9,8.1,68,1
1009456205123,1460495,687,9,8.1,68,1
1009456205125,6922512,69,9,8.1,69,1
1009612600191,4487145,698,9,8.1,69,1
1009787017599,15418525,709,9,8.1,70,1
1009787017600,15417029,720,9,8.1,72,1
1009787017601,15417553,724,9,8.1,72,1
1009787017602,15418526,728,9,8.1,72,1
1011989583,1485861,732,9,8.1,73,1
1012,1462556,738,9,8.1,73,1
10125,866861,749,9,8.1,74,1
10140,890831,756,9,8.1,75,1
10150,510625,759,9,8.1,75,1
10160057006,1584246,765,9,8.1,76,1
1017489708,2365508,768,9,8.1,76,1
1017489715,2365509,780,9,8.1,78,1
1018100008,1069548,785,9,8.1,78,1
1018102510,1775094,789,9,8.1,78,1
1018102515,1902909,790,9,8.1,79,1
1018102520,1775103,794,9,8.1,79,1
1018102521,1878085,796,9,8.1,79,1
1018102530,1779800,798,9,8.1,79,1
1018102593,1775105,94,9,8.1,94,1
1018102594,1775107,29,13,11.7,29,1
1018103100,4116001,426,13,11.7,42,1
1018103220,2304507,431,13,11.7,43,1
1018103221,4289019,446,13,11.7,44,1
1018103222,2143982,487,13,11.7,48,1
1018103265,9600014,54,13,11.7,54,1
1018103270,1954009,556,13,11.7,55,1
1018103271,15381062,599,13,11.7,59,1
1018103278,15418046,630,13,11.7,63,1
1018103280,1953034,658,13,11.7,65,1
1018103285,2305018,678,13,11.7,67,1
1018103286,2305020,686,13,11.7,68,1
1018103287,11674080,687,13,11.7,68,1
1018103305,2947025,69,13,11.7,69,1
1018103308,1878082,698,13,11.7,69,1
1018103313,2744560,709,13,11.7,70,1
1018103315,1775108,720,13,11.7,72,1
1018103319,1878077,724,13,11.7,72,1
1018103320,2192917,728,13,11.7,72,1
1018103323,2192848,732,13,11.7,73,1
1018103380,2304503,738,13,11.7,73,1
1018103408,5697501,749,13,11.7,74,1
1018103504,2192890,756,13,11.7,75,1
1018103512,5660004,759,13,11.7,75,1
1018104000,20800,765,13,11.7,76,1
1018104008,2744556,768,13,11.7,76,1
1018104016,1858215,780,13,11.7,78,1
1018104031,1150377,785,13,11.7,78,1
1018104035,20801,789,13,11.7,78,1
1018104047,1802652,790,13,11.7,79,1
1018104058,1146146,794,13,11.7,79,1
1018104070,1888321,796,13,11.7,79,1
1018104076,1395041,798,13,11.7,79,1
1018104116,10116052,94,13,11.7,94,1
1018104119,10110532,29,10,9,29,1
1018104123,10111034,426,10,9,42,1
1018104129,10110530,431,10,9,43,1
1018104153,1289644,446,10,9,44,1
1018104165,1009980,487,10,9,48,1
1018104170,7941001,54,10,9,54,1
1018104171,11673583,556,10,9,55,1
1018104173,1707024,599,10,9,59,1
1018104180,20803,630,10,9,63,1
1018104209,5193503,658,10,9,65,1
1018104221,4289016,678,10,9,67,1
1018104264,5193502,686,10,9,68,1
1018104271,15380546,687,10,9,68,1
1018104280,2305007,69,10,9,69,1
1018104287,15380127,698,10,9,69,1
1018104289,4968002,709,10,9,70,1
1018104291,15358022,720,10,9,72,1
1018104296,5194003,724,10,9,72,1
1018104335,1119108,728,10,9,72,1
1018104349,1836161,732,10,9,73,1
1018104371,11673584,738,10,9,73,1
1018104372,1897132,749,10,9,74,1
1018104389,4964590,756,10,9,75,1
1018104399,7158503,759,10,9,75,1
1018104506,1707012,765,10,9,76,1
1018104536,1804784,768,10,9,76,1
1018104537,1804787,780,10,9,78,1
1018104539,1804790,785,10,9,78,1
1018104565,9597068,789,10,9,78,1
1018104580,1524341,790,10,9,79,1
1018104670,4076501,794,10,9,79,1
1018104680,4076502,796,10,9,79,1
1018104782,12539011,798,10,9,79,1
1018104784,10536511,94,10,9,94,1
1018104803,12538511,29,13,11.7,29,1
1018104890,1892504,426,13,11.7,42,1
1018104892,1892503,431,13,11.7,43,1
1018104893,1892496,446,13,11.7,44,1
1018104894,1892501,487,13,11.7,48,1
1018104895,1892507,54,13,11.7,54,1
1018105000,2305003,556,13,11.7,55,1
1018105008,9597069,599,13,11.7,59,1
1018105165,2304504,630,13,11.7,63,1
1018105170,7159501,658,13,11.7,65,1
1018107230,11591022,678,13,11.7,67,1
1018107239,11588021,686,13,11.7,68,1
1018107380,3659023,687,13,11.7,68,1
1018107500,1165398,69,13,11.7,69,1
1018107550,5715534,698,13,11.7,69,1
1018107706,5661001,709,13,11.7,70,1
1018109180,1948960,720,13,11.7,72,1
1018109183,1948961,724,13,11.7,72,1
1018109200,1948959,728,13,11.7,72,1
1019787002942,12616511,732,13,11.7,73,1
1019787009295,12617511,738,13,11.7,73,1
1019900326,303637,749,13,11.7,74,1
1019915001,913739,756,13,11.7,75,1
1020540007,601948,759,13,11.7,75,1
1020560021,1075890,765,13,11.7,76,1
1020592007,601950,768,13,11.7,76,1
1020592010,1853179,780,13,11.7,78,1
1020592022,1109852,785,13,11.7,78,1
1020592117,1082750,789,13,11.7,78,1
1020592311,1377066,790,13,11.7,79,1
1020592332,622975,794,13,11.7,79,1
1020592589,1109857,796,13,11.7,79,1
1020592697,2205565,798,13,11.7,79,1
1020592774,1377067,94,13,11.7,94,1
1020592811,1956548,29,13,11.7,29,1
1020592840,1109859,426,13,11.7,42,1
1020592841,1109860,431,13,11.7,43,1
1020592842,1109861,446,13,11.7,44,1
1020592845,1109862,487,13,11.7,48,1
1020592846,1109863,54,13,11.7,54,1
1020592962,2234187,556,13,11.7,55,1
1020592989,1409013,599,13,11.7,59,1
1020592992,1446779,630,13,11.7,63,1
1020592999,1446781,658,13,11.7,65,1
1020593002,1762896,678,13,11.7,67,1
1020593009,1853178,686,13,11.7,68,1
1020593013,1853181,687,13,11.7,68,1
10208,1919162,69,13,11.7,69,1
10215,587592,698,13,11.7,69,1
1022810421,4731020,709,13,11.7,70,1
1022890505,852356,720,13,11.7,72,1
1024601110,509233,724,13,11.7,72,1
1024613220,790307,728,13,11.7,72,1
1024613240,790305,732,13,11.7,73,1
1024613360,1867018,738,13,11.7,73,1
1024613940,721206,749,13,11.7,74,1
1024618140,1867022,756,13,11.7,75,1
1024683550,790304,759,13,11.7,75,1
1027900071,6543012,765,13,11.7,76,1
1027900073,6543010,768,13,11.7,76,1
1027940110,5203501,780,13,11.7,78,1
1027940112,2236562,785,13,11.7,78,1
1027940114,2236541,789,13,11.7,78,1
1027940116,2236575,790,13,11.7,79,1
1027940125,2822028,794,13,11.7,79,1
1027940141,5204670,796,13,11.7,79,1
1027940155,2822032,798,13,11.7,79,1
1027940187,3512033,94,13,11.7,94,1
1027940188,3512035,29,16,14.4,29,1
1027940190,3512034,426,16,14.4,42,1
1027940191,3512037,431,16,14.4,43,1
1027970046,2822034,446,16,14.4,44,1
1027970047,2236532,487,16,14.4,48,1
1027970105,4184509,54,16,14.4,54,1
1027970543,2236708,556,16,14.4,55,1
1027970544,2236706,599,16,14.4,59,1
1027970662,2226597,630,16,14.4,63,1
1027970663,2226600,658,16,14.4,65,1
1027970763,4184511,678,16,14.4,67,1
1027972469,2226595,686,16,14.4,68,1
1027973010,5204503,687,16,14.4,68,1
1027973011,5204504,69,16,14.4,69,1
1027973030,4184515,698,16,14.4,69,1
1027977060,2236705,709,16,14.4,70,1
1027981020,5204673,720,16,14.4,72,1
1027981040,4044042,724,16,14.4,72,1
1027981043,4014015,728,16,14.4,72,1
103,1837548,732,16,14.4,73,1
1030006421,1476697,738,16,14.4,73,1
1030006422,1476695,749,16,14.4,74,1
1030006446,1527360,756,16,14.4,75,1
1030010279,1895635,759,16,14.4,75,1
1030010639,1810036,765,16,14.4,76,1
1030010649,1810043,768,16,14.4,76,1
1030014151,2018441,780,16,14.4,78,1
1030030395,1452980,785,16,14.4,78,1
1030030564,1862306,789,16,14.4,78,1
1030033301,949885,790,16,14.4,79,1
1030033302,1807321,794,16,14.4,79,1
1030033324,1976533,796,16,14.4,79,1
1030033325,1791783,798,16,14.4,79,1
1030033364,1862303,94,16,14.4,94,1
1030033402,1790785,29,12,10.8,29,1
1030033602,669635,426,12,10.8,42,1
1030033625,1976535,431,12,10.8,43,1
1030033664,1862297,446,12,10.8,44,1
1030034131,2018437,487,12,10.8,48,1
1030034325,1253870,54,12,10.8,54,1
1030034895,1253869,556,12,10.8,55,1
1030053622,669640,599,12,10.8,59,1
1030053664,1862294,630,12,10.8,63,1
1030054325,1253850,658,12,10.8,65,1
1030080879,1895627,678,12,10.8,67,1
1030080893,1862300,686,12,10.8,68,1
1030080894,2029211,687,12,10.8,68,1
1030080895,2043400,69,12,10.8,69,1
1030080901,2680008,698,12,10.8,69,1
1030084325,1253846,709,12,10.8,70,1
1030086302,1165782,720,12,10.8,72,1
1030086364,1862295,724,12,10.8,72,1
1030088118,1976520,728,12,10.8,72,1
1030088218,1976525,732,12,10.8,73,1
1030089441,2680009,738,12,10.8,73,1
1030089446,2680007,749,12,10.8,74,1
1030093001,1452973,756,12,10.8,75,1
1030093022,1452968,759,12,10.8,75,1
1030093064,1862322,765,12,10.8,76,1
1030093301,1406343,768,12,10.8,76,1
1030093302,1807323,780,12,10.8,78,1
1030093364,1862329,785,12,10.8,78,1
1030093366,1976505,789,12,10.8,78,1
1030093702,1452972,790,12,10.8,79,1
1030093722,1655371,794,12,10.8,79,1
1030094212,1976508,796,12,10.8,79,1
1030094213,1976506,798,12,10.8,79,1
1030094214,1976519,94,12,10.8,94,1
1031342666,1442546,29,8,7.2,29,1
10324,1088151,426,8,7.2,42,1
1033100006,3977522,431,8,7.2,43,1
1033100016,1194369,446,8,7.2,44,1
1033100020,1619260,487,8,7.2,48,1
1033100024,2017288,54,8,7.2,54,1
1033100026,1960293,556,8,7.2,55,1
1033100027,2179648,599,8,7.2,59,1
1033100031,1960305,630,8,7.2,63,1
1033100039,3977531,658,8,7.2,65,1
1033100040,6481012,678,8,7.2,67,1
1033100041,6470507,686,8,7.2,68,1
1033100042,6470005,687,8,7.2,68,1
1033100043,6470004,69,8,7.2,69,1
1033100044,11641014,698,8,7.2,69,1
1033100045,11641016,709,8,7.2,70,1
1033100047,15392537,720,8,7.2,72,1
1033100048,15393533,724,8,7.2,72,1
1033150026,3977519,728,8,7.2,72,1
1033150039,3977528,732,8,7.2,73,1
1033180026,3977534,738,8,7.2,73,1
1033301940,2203544,749,8,7.2,74,1
1033301941,2203547,756,8,7.2,75,1
1033301942,2203548,759,8,7.2,75,1
1033301943,2203549,765,8,7.2,76,1
1033301944,2203551,768,8,7.2,76,1
1033301945,2203552,780,8,7.2,78,1
1033301946,2203566,785,8,7.2,78,1
1033301947,2203567,789,8,7.2,78,1
1033301948,2203569,790,8,7.2,79,1
1033301949,2203571,794,8,7.2,79,1
1033301950,2203572,796,8,7.2,79,1
1033301951,2203573,798,8,7.2,79,1
10333204969,2706508,94,8,7.2,94,1
1033320500,2706507,29,8,7.2,29,1
1034386056,1186756,426,8,7.2,42,1
1034386057,1186757,431,8,7.2,43,1
1034387641,1570268,446,8,7.2,44,1
1034387644,1570269,487,8,7.2,48,1
1034387646,1570275,54,8,7.2,54,1
1034390104,1665386,556,8,7.2,55,1
1034390108,1665465,599,8,7.2,59,1
1034390111,1665467,630,8,7.2,63,1
1034390114,1665463,658,8,7.2,65,1
1034390116,2128999,678,8,7.2,67,1
1034391558,2040770,686,8,7.2,68,1
1034391560,2040793,687,8,7.2,68,1
1034391562,2128997,69,8,7.2,69,1
1035310020102,1858961,698,8,7.2,69,1
1037416101,1058816,709,8,7.2,70,1
1037416105,1058817,720,8,7.2,72,1
1037416201,1181440,724,8,7.2,72,1
1037416205,1181439,728,8,7.2,72,1
1037416275,2962023,732,8,7.2,73,1
1037416276,2053372,738,8,7.2,73,1
1037416277,2962024,749,8,7.2,74,1
1037416294,1496973,756,8,7.2,75,1
1037416295,1496974,759,8,7.2,75,1
1037416806,1703171,765,8,7.2,76,1
1037418822,1941265,768,8,7.2,76,1
1037418824,1938635,780,8,7.2,78,1
1037418825,1938418,785,8,7.2,78,1
1037422002,1424513,789,8,7.2,78,1
1037422280,1492985,790,8,7.2,79,1
1037422281,1938612,794,8,7.2,79,1
1037422282,1496847,796,8,7.2,79,1
1037422283,1492984,798,8,7.2,79,1
1037422284,1413711,94,8,7.2,94,1
1037422285,1413704,29,8.5,7.65,29,1
1037422286,1582744,426,8.5,7.65,42,1
1037422610,1424510,431,8.5,7.65,43,1
1037422611,1424497,446,8.5,7.65,44,1
1037422613,4783580,487,8.5,7.65,48,1
1037432408,2053392,54,8.5,7.65,54,1
1037432846,1703191,556,8.5,7.65,55,1
1037432847,1703177,599,8.5,7.65,59,1
1037440089,2053393,630,8.5,7.65,63,1
1037440222,1811523,658,8.5,7.65,65,1
1037441024,459469,678,8.5,7.65,67,1
1037442060,459470,686,8.5,7.65,68,1
1037442061,459471,687,8.5,7.65,68,1
1037442065,887277,69,8.5,7.65,69,1
1037442066,1059617,698,8.5,7.65,69,1
1037442067,1703169,709,8.5,7.65,70,1
1037470977,2160840,720,8.5,7.65,72,1
1041179230000,7323523,724,8.5,7.65,72,1
1041282325000,7327502,728,8.5,7.65,72,1
1041515104,2048457,732,8.5,7.65,73,1
1041515105,2048460,738,8.5,7.65,73,1
1046500890,4662501,749,8.5,7.65,74,1
1046520220,15784035,756,8.5,7.65,75,1
1046520890,20993,759,8.5,7.65,75,1
1046552050,1363904,765,8.5,7.65,76,1
1046570210,14514519,768,8.5,7.65,76,1
1046570220,15587533,780,8.5,7.65,78,1
1046570960,21004,785,8.5,7.65,78,1
1048600701,386519,789,8.5,7.65,78,1
1048600703,21023,790,8.5,7.65,79,1
1048600707,21024,794,8.5,7.65,79,1
1048600710,386520,796,8.5,7.65,79,1
1048600711,2214474,798,8.5,7.65,79,1
1048600713,13153513,94,8.5,7.65,94,1
1048600714,21025,29,8.5,7.65,29,1
1048600803,11474047,426,8.5,7.65,42,1
1048600807,2124218,431,8.5,7.65,43,1
1048600808,11484016,446,8.5,7.65,44,1
1048600813,11484014,487,8.5,7.65,48,1
1048600850,3596512,54,8.5,7.65,54,1
1048600851,3.60E+06,599,8.5,7.65,59,1
1048600852,3.60E+06,630,8.5,7.65,63,1
1048600853,3.60E+06,658,8.5,7.65,65,1
1048600854,3.59E+06,678,8.5,7.65,67,1
1048600855,3.60E+06,686,8.5,7.65,68,1
1048600860,2.74E+06,687,8.5,7.65,68,1
1048600861,2.74E+06,69,8.5,7.65,69,1
1048600862,2.74E+06,698,8.5,7.65,69,1
1048601212,11483515,709,8.5,7.65,70,1
1048843893000,7.31E+06,720,8.5,7.65,72,1
1049202390,3.10E+06,724,8.5,7.65,72,1
1053214915,4.54E+06,732,8.5,7.65,73,1
10511704216,1489674,738,8.5,7.65,73,1
1053212715,8521057,749,8.5,7.65,74,1
1053212888,4534517,756,8.5,7.65,75,1
1000000031423,4137005,29,3.59,3.23,29,1
1000329370404,2172718,426,3.59,3.23,42,1
1000329370405,2172716,431,3.59,3.23,43,1
1000329370406,2172717,446,3.59,3.23,44,1
1000329370407,2172720,487,3.59,3.23,48,1
10004,15486013,54,3.59,3.23,54,1
1001234567890,4540058,556,3.59,3.23,55,1
1001251120500,1995122,599,3.59,3.23,59,1
1001251144555,1995123,630,3.59,3.23,63,1
1001251194101,2129026,658,3.59,3.23,65,1
1001600036324,11875515,678,3.59,3.23,67,1
1001781630609,4140010,686,3.59,3.23,68,1
100179290502,5397001,687,3.59,3.23,68,1
1001792905020,3983053,69,3.59,3.23,69,1
1001800039208,3782034,698,3.59,3.23,69,1
1001800039270,3782033,709,3.59,3.23,70,1
1001800039281,3782029,720,3.59,3.23,72,1
1001800039282,3782032,724,3.59,3.23,72,1
1001932000826,5406172,728,3.59,3.23,72,1
1002033726402,2049050,732,3.59,3.23,73,1
10021466110,2616513,738,3.59,3.23,73,1
1002320435846,2158192,749,3.59,3.23,74,1
10025,448241,756,3.59,3.23,75,1
1003000107124,11020013,759,3.59,3.23,75,1
1003022308485,12538011,765,3.59,3.23,76,1
1003022308486,12538512,768,3.59,3.23,76,1
1003022308487,12538513,780,3.59,3.23,78,1
1003022308488,12538012,785,3.59,3.23,78,1
1003022308489,12539012,789,3.59,3.23,78,1
1003022308490,12539511,790,3.59,3.23,79,1
1003209340101,3014557,794,3.59,3.23,79,1
1003209340102,3014568,796,3.59,3.23,79,1
1003209340105,3545509,798,3.59,3.23,79,1
1003209340106,3545502,94,3.59,3.23,94,1
1003209340201,3014573,29,7.5,6.75,29,1
1003209340202,3014564,426,7.5,6.75,42,1
1003209340203,3014579,431,7.5,6.75,43,1
1003209340204,3014576,446,7.5,6.75,44,1
1003209340205,3014565,487,7.5,6.75,48,1
1003209340206,3014581,54,7.5,6.75,54,1
1003209340207,3014537,556,7.5,6.75,55,1
1003209340208,3014524,599,7.5,6.75,59,1
1003209340213,3538026,630,7.5,6.75,63,1
1003209340214,3538022,658,7.5,6.75,65,1
1003209340215,3538020,678,7.5,6.75,67,1
1003209340216,3538016,686,7.5,6.75,68,1
1003209340301,3014525,687,7.5,6.75,68,1
1003209340302,3014552,69,7.5,6.75,69,1
1003209340303,3014577,698,7.5,6.75,69,1
1003209340304,3014522,709,7.5,6.75,70,1
1003209340305,3014530,720,7.5,6.75,72,1
1003209340314,3538015,724,7.5,6.75,72,1
1003209340315,3538013,728,7.5,6.75,72,1
1003209340316,3538011,732,7.5,6.75,73,1
1003209340317,3538007,738,7.5,6.75,73,1
1003209340402,3014548,749,7.5,6.75,74,1
1003209340403,3537719,756,7.5,6.75,75,1
1003209340501,3014562,759,7.5,6.75,75,1
1003209340502,3582604,765,7.5,6.75,76,1
1003209340601,3014540,768,7.5,6.75,76,1
1003209340602,3545107,780,7.5,6.75,78,1
1003209340702,3014544,785,7.5,6.75,78,1
1003209340703,3545106,789,7.5,6.75,78,1
1003209341001,3014566,790,7.5,6.75,79,1
1003209341002,3545104,794,7.5,6.75,79,1
1003209341701,2756521,796,7.5,6.75,79,1
1003209370010,1979978,798,7.5,6.75,79,1
1003209370011,1979855,94,7.5,6.75,94,1
1003209370351,2168524,29,7.5,6.75,29,1
1003209370400,1979835,426,7.5,6.75,42,1
1003209370401,1979848,431,7.5,6.75,43,1
1003209370402,1979834,446,7.5,6.75,44,1
1003209370403,1979856,487,7.5,6.75,48,1
1003209370408,2172719,54,7.5,6.75,54,1
1003209370451,2168086,556,7.5,6.75,55,1
1003209371304,1979853,599,7.5,6.75,59,1
1003209371305,1979847,630,7.5,6.75,63,1
1003209371306,1979846,658,7.5,6.75,65,1
1003209371307,1979868,678,7.5,6.75,67,1
1003209371308,2076427,686,7.5,6.75,68,1
1003209371309,2076425,687,7.5,6.75,68,1
1003209371310,2193734,69,7.5,6.75,69,1
1003209371315,1979862,698,7.5,6.75,69,1
1003209371316,1979851,709,7.5,6.75,70,1
1003209371343,1979860,720,7.5,6.75,72,1
1003209371359,2172714,724,7.5,6.75,72,1
1003209371363,1979850,728,7.5,6.75,72,1
1003209371456,1979845,732,7.5,6.75,73,1
1003209374471,3870537,738,7.5,6.75,73,1
1003485617551,2498511,749,7.5,6.75,74,1
1003507401071,2203978,756,7.5,6.75,75,1
1003900004516,2082593,759,7.5,6.75,75,1
1003967736806,1538508,765,7.5,6.75,76,1
1003998204058,4524160,768,7.5,6.75,76,1
1004122032000,6205522,780,7.5,6.75,78,1
1004122032116,1790057,785,7.5,6.75,78,1
1004122032502,1792606,789,7.5,6.75,78,1
1004122032505,1792600,790,7.5,6.75,79,1
1004122032508,1792601,794,7.5,6.75,79,1
1004122099000,6205513,796,7.5,6.75,79,1
1004131304728,5079114,798,7.5,6.75,79,1
1004306215,445046,94,7.5,6.75,94,1
1004370101426,2114114,29,9,8.1,29,1
1004370101430,2109638,426,9,8.1,42,1
1004400007092,5710006,431,9,8.1,43,1
1004555788886,9514508,446,9,8.1,44,1
1004710411913,14419523,487,9,8.1,48,1
1004980000671,2017226,54,9,8.1,54,1
1005200032481,2143805,556,9,8.1,55,1
1005200032867,2143806,599,9,8.1,59,1
1005610604,3790045,630,9,8.1,63,1
1005620515,6299074,658,9,8.1,65,1
1005620615,6299072,678,9,8.1,67,1
1005622415,6299069,686,9,8.1,68,1
1007001797692,3757080,687,9,8.1,68,1
1007120202020,9951555,69,9,8.1,69,1
1007127030482,1718511,698,9,8.1,69,1
1007144308941,1787139,709,9,8.1,70,1
1007144308946,1603922,720,9,8.1,72,1
1007144308948,1603911,724,9,8.1,72,1
1007144308955,1787134,728,9,8.1,72,1
1007144308971,1787133,732,9,8.1,73,1
1007144309001,1603925,738,9,8.1,73,1
1007144309121,1603923,749,9,8.1,74,1
1007144309126,1603920,756,9,8.1,75,1
1007144309135,1603921,759,9,8.1,75,1
1007144309241,1603900,765,9,8.1,76,1
1007144309246,1603898,768,9,8.1,76,1
1007144323367,1795266,780,9,8.1,78,1
1007236800491,1578631,785,9,8.1,78,1
1007236800506,1578642,789,9,8.1,78,1
