ITEMID,BARCODE,STOREID,ORIGINAL_PRICE,CURRENT_PRICE,QTY_MARKDOWN,QTY_ON_HAND
3050,8000920303900,171,3.59,3.23,42,1
3069,5010092448340,325,3.59,3.23,43,1
3077,5012035953638,76,3.59,3.23,44,1
3085,5060058180623,246,3.59,3.23,48,1
3093,5011546170572,66,3.59,3.23,54,1
3107,3456774763615,85,3.59,3.23,55,1
3107,8001090742834,75,3.59,3.23,59,1
3115,50377701,394,3.59,3.23,63,1
3123,5010896091612,316,3.59,3.23,65,1
3123,8001090729668,104,3.59,3.23,42,1
3131,5010896091605,345,3.59,3.23,43,1
3131,5711953081392,76,3.59,3.23,44,1
3158,5000128809078,246,3.59,3.23,48,1
3174,5039306026709,66,3.59,3.23,54,1
3174,5000116055166,85,3.59,3.23,55,1
3182,5000403109831,75,3.59,3.23,59,1
3182,5000128627924,394,3.59,3.23,63,1
3190,5000128802956,316,3.59,3.23,65,1
3212,5027456004111,104,3.59,3.23,42,1
3212,5000128662840,345,3.59,3.23,43,1
3220,7613033492778,70,3.59,3.23,42,1
3239,8001060005211,171,3.59,3.23,42,1
3239,4025500181697,325,3.59,3.23,43,1
3255,5013387202900,76,3.59,3.23,44,1
3255,5000128994521,246,3.59,3.23,48,1
3263,5025820004149,66,3.59,3.23,54,1
3263,2300008810822,85,3.59,3.23,55,1
3271,5010092737116,75,3.59,3.23,59,1
3271,5000128709002,394,3.59,3.23,63,1
3298,5010065030077,316,3.59,3.23,65,1
3298,5391520180729,104,3.59,3.23,42,1
3301,5027952009740,345,3.59,3.23,43,1
3328,5000128652803,171,3.59,3.23,42,1
3328,5397005909083,325,3.59,3.23,43,1
3336,3256540035041,76,3.59,3.23,44,1
3338,5055056733384,246,3.59,3.23,48,1
3339,5055056733391,66,3.59,3.23,54,1
3344,7613033563669,85,3.59,3.23,55,1
3352,5000128940375,171,3.59,3.23,42,1
3360,3800020410455,325,3.59,3.23,43,1
3379,240126000007,66,3.59,3.23,54,1
3387,7613033563645,394,3.59,3.23,63,1
3387,8001090670823,316,3.59,3.23,65,1
3391,9770955631215,104,3.59,3.23,42,1
3393,5055056733933,345,3.59,3.23,43,1
3395,5055056733957,70,3.59,3.23,42,1
3395,5055940100940,171,3.59,3.23,42,1
3395,5025603600964,325,3.59,3.23,43,1
3409,204049010505,76,3.59,3.23,44,1
3417,5010092737215,246,3.59,3.23,48,1
3417,5010478474727,66,3.59,3.23,54,1
3425,5000128681650,85,3.59,3.23,55,1
3425,5711953081378,75,3.59,3.23,59,1
3433,5000128652858,394,3.59,3.23,63,1
3441,5012262004011,316,3.59,3.23,65,1
3453,9770967667998,104,3.59,3.23,42,1
3468,5000184331070,345,3.59,3.23,43,1
3468,5000128570732,76,3.59,3.23,44,1
3476,5000128718981,246,3.59,3.23,48,1
3484,5060425283254,66,3.59,3.23,54,1
3484,5000128628242,85,3.59,3.23,55,1
3492,5000128654296,75,3.59,3.23,59,1
3506,240127000006,394,3.59,3.23,63,1
3514,5060425283193,316,3.59,3.23,65,1
3514,5390003007348,104,3.59,3.23,42,1
3522,5000128729321,345,3.59,3.23,43,1
3522,5000128628273,70,3.59,3.23,42,1
3530,5011546445748,171,3.59,3.23,42,1
3542,5000143555257,325,3.59,3.23,43,1
3544,9771360350999,76,3.59,3.23,44,1
3545,9770309333987,246,3.59,3.23,48,1
3551,8000920593608,66,3.59,3.23,54,1
3557,5000128682473,85,3.59,3.23,55,1
3557,5000128364201,75,3.59,3.23,59,1
3565,5000128542753,394,3.59,3.23,63,1
3568,9770961854318,316,3.59,3.23,65,1
3573,5034660519393,104,3.59,3.23,42,1
3577,9770962210267,345,3.59,3.23,43,1
3581,9770968390123,171,3.59,3.23,42,1
3581,5030323004732,325,3.59,3.23,43,1
3581,5032500134294,76,3.59,3.23,44,1
3603,9770951946269,246,3.59,3.23,48,1
3603,5000128801904,66,3.59,3.23,54,1
3611,5010003060043,85,3.59,3.23,55,1
3615,9770307661600,171,3.59,3.23,42,1
3616,9770307575082,325,3.59,3.23,43,1
3622,9771462332084,66,3.59,3.23,54,1
3624,9771462331025,394,3.59,3.23,63,1
3625,9771462330080,316,3.59,3.23,65,1
3630,9770958172470,104,3.59,3.23,42,1
3632,9770956138874,345,3.59,3.23,43,1
3633,9770307587672,70,3.59,3.23,42,1
3638,5000128364225,171,3.59,3.23,42,1
3640,5027886001001,325,3.59,3.23,43,1
3646,240133000007,76,3.59,3.23,44,1
3650,9770965397750,246,3.59,3.23,48,1
3654,244296000003,66,3.59,3.23,54,1
3659,9770957623652,85,3.59,3.23,55,1
3661,9770957623638,75,3.59,3.23,59,1
3662,9770957623614,394,3.59,3.23,63,1
3662,3086123244801,316,3.59,3.23,65,1
3662,5390003004187,104,3.59,3.23,42,1
3670,5027875002323,345,3.59,3.23,43,1
3672,9770956806216,76,3.59,3.23,44,1
3678,9770307268861,246,3.59,3.23,48,1
3680,9770307268564,66,3.59,3.23,54,1
3682,9770307176616,85,3.59,3.23,55,1
3689,5016126096167,75,3.59,3.23,59,1
3689,5000128713832,394,3.59,3.23,63,1
3697,9770307017520,316,3.59,3.23,65,1
3698,9770307017537,104,3.59,3.23,42,1
3700,9770307123559,345,3.59,3.23,43,1
3700,5010801003945,70,3.59,3.23,42,1
3719,5000237126981,171,3.59,3.23,42,1
3719,5099556004759,325,3.59,3.23,43,1
3735,5000128729642,76,3.59,3.23,44,1
3735,5010228011967,246,3.59,3.23,48,1
3743,5000128627474,66,3.59,3.23,54,1
3744,5010394982573,85,3.59,3.23,55,1
3745,9771478555071,75,3.59,3.23,59,1
3749,5034660501688,394,3.59,3.23,63,1
3751,5000128336802,316,3.59,3.23,65,1
3754,48419673347,104,3.59,3.23,42,1
3777,5027399020360,345,3.59,3.23,43,1
3786,240132000008,171,3.59,3.23,42,1
3794,5000128895620,325,3.59,3.23,43,1
3794,5000237126820,76,3.59,3.23,44,1
3805,5036905008549,246,3.59,3.23,48,1
3808,5033326005058,66,3.59,3.23,54,1
3808,5036698001161,85,3.59,3.23,55,1
3808,5015436292740,171,3.59,3.23,42,1
3816,244048000008,325,3.59,3.23,43,1
3816,4048,66,3.59,3.23,54,1
3816,50248223,394,3.59,3.23,63,1
3816,5015292900032,316,3.59,3.23,65,1
3816,5010029204704,104,3.59,3.23,42,1
3817,5029736025847,345,3.59,3.23,43,1
3824,5010029204735,70,3.59,3.23,42,1
3832,5028772020113,171,3.59,3.23,42,1
3836,5055056721688,325,3.59,3.23,43,1
3840,5029053019604,76,3.59,3.23,44,1
3859,5000128773287,246,3.59,3.23,48,1
3867,5000128845427,66,3.59,3.23,54,1
3867,5000237126875,85,3.59,3.23,55,1
3875,5010044003764,75,3.59,3.23,59,1
3883,7290000301457,394,3.59,3.23,63,1
3891,8723400782957,316,3.59,3.23,65,1
3891,5000128570756,104,3.59,3.23,42,1
3905,5014348318449,345,3.59,3.23,43,1
3905,5000128746793,76,3.59,3.23,44,1
3913,6191514310663,246,3.59,3.23,48,1
3913,5000157010858,66,3.59,3.23,54,1
3921,5000128899048,85,3.59,3.23,55,1
3942,5055056739423,75,3.59,3.23,59,1
3948,5036589201113,394,3.59,3.23,63,1
3956,5000128768740,316,3.59,3.23,65,1
3964,5030101026222,104,3.59,3.23,42,1
3964,220740000003,345,3.59,3.23,43,1
3972,96135822,70,3.59,3.23,42,1
3972,5390003009069,171,3.59,3.23,42,1
3980,5010017066253,325,3.59,3.23,43,1
3999,5000128844741,76,3.59,3.23,44,1
3999,5000382104407,246,3.59,3.23,48,1
4006,5000159513036,66,3.59,3.23,54,1
4006,5000128570770,85,3.59,3.23,55,1
4014,5012512125145,75,3.59,3.23,59,1
4022,3856014118258,394,3.59,3.23,63,1
4022,5000371051323,316,3.59,3.23,65,1
4027,4006149507970,104,3.59,3.23,42,1
4030,5034571034046,345,3.59,3.23,43,1
4049,5034660521570,171,3.59,3.23,42,1
4057,5029053019611,325,3.59,3.23,43,1
4065,5010017066246,76,3.59,3.23,44,1
4073,5010666009700,246,3.59,3.23,48,1
4073,5000128713986,66,3.59,3.23,54,1
4103,5000159510691,85,3.59,3.23,55,1
4103,5010177755011,171,3.59,3.23,42,1
4111,5017690214193,325,3.59,3.23,43,1
4111,3254474000203,66,3.59,3.23,54,1
4111,5000157021236,394,3.59,3.23,63,1
4138,5010666007652,316,3.59,3.23,65,1
4151,71756543004,104,3.59,3.23,42,1
4154,5028270005964,345,3.59,3.23,43,1
4162,7290000301174,70,3.59,3.23,42,1
4170,5000128593557,171,3.59,3.23,42,1
4189,5000128858953,325,3.59,3.23,43,1
4197,2300008811553,76,3.59,3.23,44,1
4200,3329770006980,246,3.59,3.23,48,1
4219,4050300788883,66,3.59,3.23,54,1
4227,5060135535643,85,3.59,3.23,55,1
4227,5000149021978,75,3.59,3.23,59,1
4236,9772050024961,394,3.59,3.23,63,1
4243,5000128608862,316,3.59,3.23,65,1
4251,5000128834759,104,3.59,3.23,42,1
4278,5013424001039,345,3.59,3.23,43,1
4279,9771356862147,76,3.59,3.23,44,1
4286,5029775016707,246,3.59,3.23,48,1
4294,5000128858991,66,3.59,3.23,54,1
4308,5000146048442,85,3.59,3.23,55,1
4316,5000128914208,75,3.59,3.23,59,1
4316,5000128718042,394,3.59,3.23,63,1
4324,5029775017162,316,3.59,3.23,65,1
4324,5011417565209,104,3.59,3.23,42,1
