BarCode,STOREID,ORIGINAL_PRICE,CURRENT_PRICE,QTY_MARKDOWN
5000232825391,388,0.7,0.7,8
5010084906056,465,1.25,1.25,11
50271351,1463,1,1,25
5391533073186,1246,3.75,3.75,2
5000234055017,801,0.5,0.5,6
5039388075695,171,4,4,3
5013635410941,1418,1,1,10
5010244006992,567,2.5,2.5,4
3086126693552,1762,2.5,2.5,2
5061066150028,813,1,1,7
5011666732940,115,0.1,0.1,12
5000116108053,1351,2.58,2.58,25
3600542081207,1570,0.75,0.75,20
5022458018906,1245,0.1,0.1,8
5010236053928,1475,1,1,25
5000232882035,1794,4,4,9
9771359423222,1615,0.95,0.95,16
5010482282110,678,1,1,10
5032181030199,1748,1.49,1.49,24
5099338023848,358,3,3,11
5060147110173,119,1.25,1.25,6
5029054253847,75,8.5,8.5,22
5010482357825,413,3.85,3.85,19
5397136016377,565,1.75,1.75,16
5023746473209,740,2.5,2.5,9
5000232818751,1322,1.99,1.99,16
5059321005183,952,0.69,0.69,19
7622202295447,1686,7,7,24
7622210288226,319,1.5,1.5,1
5056283809514,309,1,1,8
5010482276386,238,2.5,2.5,20
7312040040704,898,21.5,21.5,10
8723400827948,1573,1.25,1.25,1
4009900538947,60,1,1,18
8712566144563,1401,1.25,1.25,13
5050665045811,290,0.75,0.75,19
5060038027733,315,3.75,3.75,22
5060639128129,1263,5.4,5.4,6
5000168141534,1765,0.62,0.62,21
5397199002737,1246,2,2,17
5000382104407,1252,1.25,1.25,8
5060174780318,190,1.6,1.6,25
5051594006836,1561,11,11,21
5000382038528,1582,1.25,1.25,24
5000168000190,723,0.55,0.55,18
5029053536262,761,4,4,9
5011308550277,1426,2.2,2.2,9
5010482333065,331,0.25,0.25,23
5030039005955,172,2,2,15
5010035063081,771,1,1,7
8030625001054,1386,8.5,8.5,15
8003440980729,220,1.5,1.5,18
5010482910815,201,1,1,25
5010482792558,1498,3,3,10
8714100536209,380,1,1,9
5056759900400,913,0.4,0.4,7
850003560670,143,2,2,15
5010236104613,258,18,18,19
5011197002727,207,0.55,0.55,22
5010482324421,787,2,2,19
7613287012449,1627,0.75,0.75,3
5000157147868,771,2,2,25
5000204884852,1335,3,3,19
8717163859612,89,1.9,1.9,18
8710447442784,1393,1,1,24
8445291261600,538,5.5,5.5,14
5057624884252,1446,1.75,1.75,24
8000300395549,1647,0.1,0.1,21
5010482860516,321,2,2,12
5010044005126,21,1.4,1.4,15
5011546415482,1258,5.91,5.91,1
5010853248264,1361,4.99,4.99,10
8710447376218,595,2,2,7
5052514010049,1527,1,1,22
6975207752998,427,1,1,13
3073781048131,485,2.5,2.5,20
5010102346376,258,1.25,1.25,5
5057742000145,368,1.75,1.75,23
5000184311416,390,1.4,1.4,6
5052516213684,1341,0.1,0.1,12
5010482184186,1582,4,4,19
5026637668531,1518,4.99,4.99,23
5010482862664,778,5.75,5.75,19
5000157076410,1657,4,4,10
8711327535138,1760,1.87,1.87,4
5391526152539,768,2.5,2.5,16
8714100912676,1301,2,2,3
5014442020262,1703,1.5,1.5,14
8001090065964,986,2,2,7
5037713024882,163,3.95,3.95,3
5053990176007,1464,1.75,1.75,18
5010092756018,694,1.5,1.5,10
7622210928429,278,1.25,1.25,25
5013427013046,561,1.5,1.5,20
5010482715854,1809,1.5,1.5,7
4025500236182,1244,1.7,1.7,12
3760258222117,1349,2,2,18
8001841041360,83,1,1,8
5011096009858,536,2,2,14
5000157062741,1758,1.7,1.7,18
5000168183596,1489,1.25,1.25,12
5010102243309,455,2,2,4
5060693530159,1320,0.1,0.1,11
7804320457956,1680,2.49,2.49,20
5000234047418,310,2.6,2.6,7
4025500236168,213,1.7,1.7,7
5056283870576,1477,6,6,9
610696096593,650,2,2,9
5000157062659,1759,1.7,1.7,15
5410976376019,299,2.5,2.5,25
4025500294014,618,2.01,2.01,14
5010196965071,267,7.99,7.99,7
5017726422127,1459,0.01,0.01,15
5011026701173,788,2.5,2.5,6
5000108170761,716,0.5,0.5,23
5391517593563,818,3,3,23
5015934373477,1717,1,1,19
5010482685232,862,0.75,0.75,4
7290101224709,14,2,2,5
5010482221935,1205,3.5,3.5,7
5060060387195,962,1.35,1.35,7
11179724963,455,1,1,18
5024996822786,986,20,20,1
5056462362427,1418,10,10,6
8435201704334,178,1,1,23
5010035070072,582,1,1,24
8445291154162,50,4.25,4.25,5
8700216776677,718,8,8,19
5057624890918,1458,3,3,13
5025364001253,175,0.5,0.5,20
5061013960366,1449,1.65,1.65,25
5000354910180,807,1,1,7
5010482767631,376,3.5,3.5,5
5010049001956,1470,1,1,8
5013635410125,1450,0.8,0.8,10
8410036808396,609,9.99,9.99,16
5027738009612,827,1.4,1.4,25
5012686077479,328,2.39,2.39,12
5060685750220,1402,1.75,1.75,4
8711327591011,981,2,2,18
7622210737458,313,2.4,2.4,9
5029788189382,356,2,2,5
5015934329047,1582,5.99,5.99,16
5000328741314,1498,2.5,2.5,5
4008496936298,1468,9.99,9.99,16
8719200086036,1409,0.89,0.89,14
5000254021528,363,1,1,9
5000232878434,612,1,1,4
5015063712444,1256,7.95,7.95,25
5410355405279,1458,3,3,3
5449000052407,916,1,1,6
5099678303518,909,2,2,16
850003560670,1662,2,2,15
5000168003887,749,2,2,25
3760069405594,727,10.55,10.55,6
8723400791546,1765,3.5,3.5,25
5055192663149,6,5.5,5.5,21
3531340172128,916,14.99,14.99,14
5000328190976,1625,3.25,3.25,1
5391516930086,860,5.49,5.49,23
5014697000057,1669,1,1,4
5060951155001,853,0.1,0.1,10
5055180668231,223,3.99,3.99,17
5012213499781,1590,1,1,20
5059319035154,1682,2.85,2.85,8
9414202211149,1682,3.99,3.99,10
5015934540442,253,1.25,1.25,21
5011069116682,569,2.5,2.5,6
4060800102584,761,1,1,23
5010482859152,1639,2,2,13
5060042350087,104,1,1,13
5016840102168,194,8.29,8.29,11
5010482597399,1575,2.8,2.8,25
6221134013795,267,1.75,1.75,21
5000354401312,119,0.75,0.75,2
8710522708125,299,0.1,0.1,19
8018510000191,260,25,25,23
5060693536861,697,0.1,0.1,21
9770307017056,1553,1.4,1.4,1
8410011230105,1234,7.99,7.99,22
4025500277529,961,3,3,6
5060139431521,1625,2.5,2.5,19
5013531350440,804,2,2,14
8719200070639,92,4,4,25
5000435016763,445,11.99,11.99,18
5010044010762,1214,1.6,1.6,2
5011096010328,630,2.75,2.75,11
7311100326406,1481,2.5,2.5,20
3469891134503,411,6.75,6.75,22
5099822001390,235,5,5,3
5010482393588,570,1.5,1.5,11
4251097419282,413,3,3,5
5010482870263,568,1,1,24
5056170308885,214,1,1,16
5017764000370,258,1.59,1.59,10
5023734114107,125,1.25,1.25,2
5051159009234,143,6.99,6.99,21
5014974303970,333,0.89,0.89,21
5099594001154,1300,3.5,3.5,14
5099649000071,207,2,2,15
5000347059780,545,1.25,1.25,2
5010482797065,1418,1.25,1.25,24
5000213020401,334,16.99,16.99,5
5010482809706,329,0.5,0.5,9
5010482392765,602,1.5,1.5,16
5010482500214,35,1,1,4
4060800309099,1274,1.65,1.65,23
5010482409814,572,2.5,2.5,7
5000213015728,3,2.85,2.85,21
800844122216,347,13.99,13.99,24
5010482234546,1221,2.3,2.3,11
5000295158467,164,1.92,1.92,18
5027733000836,1334,2.1,2.1,10
8715700125763,411,2.25,2.25,7
5065013305196,1231,2,2,13
9351105000121,1218,18,18,11
5033601665441,317,1,1,15
5010044010779,169,1.6,1.6,14
5000354909931,162,1,1,13
5011026008104,285,1.35,1.35,21
74299018060,1258,2.99,2.99,1
5060221246613,1754,1.3,1.3,5
5000168210346,229,1,1,7
3574669908252,730,1,1,7
5010482880989,1675,3.5,3.5,25
8445290273895,1659,0.85,0.85,21
3029440003836,14,35,35,16
5056492900217,894,1.19,1.19,20
8424465936520,1514,2.5,2.5,22
5000157004239,229,2,2,2
8410300207627,846,5,5,24
5000159493048,166,1.5,1.5,19
5449000006004,833,11.5,11.5,23
5000232919953,220,4.25,4.25,22
5449000304377,314,1.75,1.75,10
4084500854864,325,9,9,22
8720181245367,490,3,3,1
5060120680372,978,1,1,17
5010186019258,1500,1.75,1.75,15
5010482856984,968,2.25,2.25,11
5099556009181,84,2.5,2.5,4
5000101502927,1713,1,1,22
5000328751559,610,3,3,2
8710255128122,601,8,8,5
5010482922306,620,4,4,1
5060207650069,605,3.99,3.99,9
788821041142,870,1.15,1.15,8
5010482697457,1273,1.79,1.79,11
5000221603610,1586,2,2,7
8717644367209,1314,1.5,1.5,21
5024993727121,1424,3.75,3.75,5
59084075,1780,2.6,2.6,5
8412497070534,1626,1.99,1.99,1
8714789613956,1361,3.5,3.5,25
3014260328863,686,1.9,1.9,23
5010482903084,795,4,4,14
5000168026190,284,1.59,1.59,7
5000158071308,933,3.5,3.5,20
5000328024462,628,0.1,0.1,20
5012797034804,598,2.5,2.5,5
5010482838416,603,1,1,18
842993108239,22,40,40,23
8717163643839,984,3.75,3.75,9
5010102341579,671,10.5,10.5,5
5010482507459,1764,1,1,20
5055195876423,1214,19.99,19.99,4
5000174025637,1635,1.75,1.75,6
7804330006915,942,12.99,12.99,13
4002359013133,1780,1.25,1.25,5
5059319021300,1204,3.29,3.29,4
5012159032929,393,1,1,20
7804304105651,801,9.5,9.5,12
5026180052290,348,4.49,4.49,6
5015821146429,702,2.5,2.5,3
5391527000402,679,3.4,3.4,3
5022822127401,617,0.25,0.25,15
9770261307958,700,2.5,2.5,1
5056192406002,1504,2,2,17
5038961001205,806,1.2,1.2,5
5060751215721,1556,1.45,1.45,1
5000127072992,1431,3,3,17
5011832036643,1541,9.99,9.99,8
3760049799132,724,1.58,1.58,24
8001060039940,1579,1.99,1.99,24
5010482402082,1779,2.5,2.5,7
5000354919336,941,1.75,1.75,4
5010482781705,761,4,4,5
8001841481913,366,4,4,21
5010482890551,135,5,5,8
5010482211851,1487,4.5,4.5,19
5000137016955,238,1,1,11
5010482671266,388,2.4,2.4,18
5010482685812,91,1.5,1.5,7
5010069707265,1474,2.09,2.09,10
6937643523112,789,1,1,7
5010482401252,1453,2.4,2.4,10
5010482379599,283,4.5,4.5,5
5060608741960,1661,1.45,1.45,6
5020580162559,1267,1.75,1.75,24
5060988810065,161,2.5,2.5,10
5035766048770,1750,2.29,2.29,15
4002359648267,1344,2,2,17
4006542079142,455,3,3,10
5010482916190,1622,3.75,3.75,22
5000289935340,1392,9.49,9.49,18
5010482402877,1645,2.4,2.4,15
5010482344276,599,0.5,0.5,25
5010482442002,662,2.6,2.6,9
5012904209149,897,1.5,1.5,22
5010436500017,435,3.75,3.75,20
5010478649811,1203,5,5,22
8711700943536,36,1,1,21
5010482181383,771,2.5,2.5,22
8713600284245,742,3.5,3.5,10
8424465884326,698,2.5,2.5,16
5060435600089,976,2.49,2.49,18
8445290758132,968,1,1,12
5000168035093,76,8,8,13
5010482338213,1553,3.5,3.5,12
5059321007415,1673,1.25,1.25,15
5022240013768,1299,2.5,2.5,24
37600104029,193,1.5,1.5,16
5010482420260,992,2.5,2.5,13
8006540692479,578,2.4,2.4,4
5014697054500,1488,1,1,20
5050838386918,585,6.99,6.99,5
5410126676365,1648,1.25,1.25,19
5016451485032,344,5,5,5
5410126656145,1306,1.5,1.5,21
5011376001930,73,1.2,1.2,17
5010482761332,1340,5.75,5.75,13
5391526151006,1302,2.5,2.5,18
5060008090514,304,0.62,0.62,23
7622210644435,335,1,1,9
5014442025694,1623,2.7,2.7,16
67742498533,1775,0.1,0.1,20
5022240013331,335,1,1,14
5410316966900,889,20.99,20.99,8
5010482195052,350,3,3,3
5031416112365,1655,1,1,14
5060414330860,1279,3,3,15
5000328376677,1558,2.15,2.15,4
5000128229784,114,1.55,1.55,8
9770962170325,374,2.7,2.7,14
5060060212633,789,0.75,0.75,5
5010482171414,259,1.25,1.25,25
9771362875087,611,0.95,0.95,14
5056175945757,593,1,1,18
6281034067168,1477,6,6,21
5011832044877,213,1.49,1.49,17
5010482187569,994,2,2,6
5011157995403,738,1,1,8
5013478163578,258,1,1,21
5011002006018,572,1,1,8
8001090311689,1687,16,16,6
5060127360321,975,2,2,9
8718531780224,62,1,1,8
5000158069794,907,4.95,4.95,16
5099822844904,129,4,4,24
5010482414733,423,4,4,2
810116126453,1643,2,2,13
5010511481170,152,0.5,0.5,13
80050278,1764,1.01,1.01,22
5010034016347,582,1,1,17
5010482249090,351,0.44,0.44,1
5010482738341,750,1,1,9
5010482915773,207,2.5,2.5,25
501048100757,1642,7.5,7.5,20
88004023492,1393,17.5,17.5,17
7613287248473,1432,2,2,12
8700216332873,7,10.5,10.5,17
5010482839611,976,0.75,0.75,3
3219820000085,142,34,34,4
5010482952198,1404,2,2,8
5012242096883,1264,1,1,24
5099530005567,1239,2,2,21
5901888028269,18,1,1,12
5449000023827,236,8.5,8.5,23
5000187139284,1657,2,2,1
7622210736208,387,0.1,0.1,9
5011069162658,771,1.25,1.25,19
5056492900644,1221,1,1,15
5010482838997,291,2.5,2.5,5
5010353323133,1582,1,1,14
4060800002211,782,1,1,22
1230000131049,1756,2,2,7
5010658319145,577,3,3,14
5055195878793,1410,2,2,5
4002448086079,159,9,9,22
5028905027989,914,2.2,2.2,4
5000256045041,404,1,1,13
5013427011387,114,1,1,17
7613287555595,1583,1,1,7
5000116106042,974,1.45,1.45,12
5060029720513,608,1,1,8
5449000052957,778,5.5,5.5,24
5011553400334,439,1.45,1.45,11
6003770001141,20,1.75,1.75,3
5010301013352,345,2.5,2.5,24
8718951030107,1536,1.75,1.75,10
5052514005809,1257,1.3,1.3,3
5010482333089,164,0.5,0.5,21
3760049799217,1321,2,2,21
5039303007855,1352,2,2,5
48526004553,92,1,1,25
5055195884565,1231,8.99,8.99,6
5000159393942,1689,5.5,5.5,20
5000237130636,1365,0.75,0.75,23
5021975008629,1365,1.45,1.45,1
5702016111989,1468,14.99,14.99,11
3303292604367,351,19.99,19.99,10
8445291139435,83,1.35,1.35,2
5010482938451,91,2.4,2.4,3
5010482733926,78,1.25,1.25,18
5030341510055,1666,3.5,3.5,17
5411188110859,465,1.8,1.8,24
5010228005782,1667,1.65,1.65,16
5060517889210,1746,1.75,1.75,23
5000168036427,1231,2.5,2.5,22
5011231130768,1609,1,1,12
8710847953989,186,0.5,0.5,13
8858984838506,323,10,10,21
7613036113489,1477,1,1,11
5000234055314,1530,1.25,1.25,6
5019312081848,319,1.75,1.75,4
5000237130018,563,2.35,2.35,7
3600523015184,1737,4,4,18
5010338200084,1420,0.88,0.88,4
50251179,1261,0.75,0.75,21
5000204689204,1410,1,1,2
5000205050294,151,4.5,4.5,10
5010482584634,426,2,2,13
5000354401312,378,0.75,0.75,1
5000159511735,102,5,5,4
5000243678801,899,2,2,7
8003520021939,1258,1,1,11
7613033590788,1342,1,1,6
8727200221029,773,2,2,12
5056032922051,1576,14.99,14.99,24
5000168192611,129,1,1,17
5010103937146,1401,13.49,13.49,4
5449000018281,1474,2,2,24
5011376000902,217,1.4,1.4,3
5021194000091,1215,0.5,0.5,2
5060169998032,993,2,2,25
5010482177546,645,4.5,4.5,6
5010482345037,376,0.01,0.01,19
5011348019154,100,2.19,2.19,9
5033298013822,1356,1.5,1.5,8
8424465908374,342,1.5,1.5,11
5010044000251,595,1.6,1.6,22
5060115873512,909,1,1,8
5390494003256,1343,1.15,1.15,24
5011166058038,1268,10.99,10.99,11
5055193541248,415,0.1,0.1,9
4060800309082,829,11.25,11.25,19
8445290939289,1573,10.5,10.5,23
5010482771218,1766,6,6,6
5015158000074,845,0.5,0.5,6
5010482810979,1215,2,2,10
5056357912911,287,3.75,3.75,1
810116122813,537,2,2,6
5010482194994,241,1.65,1.65,10
5010482182304,1579,2,2,25
5010034592605,1810,1.5,1.5,22
5010482409982,567,4,4,8
3065890123892,938,4.25,4.25,3
639114512255,662,1.85,1.85,2
5036268000075,1462,1.25,1.25,18
5010482950965,124,1.25,1.25,25
8437017035176,1537,8.8,8.8,12
3114080016053,1578,24.99,24.99,7
5055116605224,953,0.79,0.79,1
5011792001897,353,5.25,5.25,19
5023274038697,1553,1.35,1.35,25
5390691017995,364,2.5,2.5,20
7322540528718,1613,1,1,7
5000394105485,1692,0.99,0.99,13
5053191062635,1578,2.5,2.5,19
5741000163801,450,3.25,3.25,19
8720608036783,110,2.5,2.5,7
5025364009396,133,1.5,1.5,18
4002971673906,981,1.01,1.01,6
5052514015273,262,3,3,7
5013427047195,1367,1.1,1.1,1
5711953193996,551,2.2,2.2,7
8001090559890,1712,2.3,2.3,13
5056053305673,611,3,3,15
5010482840419,244,2,2,12
5391527074861,1691,2.5,2.5,8
9322214006205,571,7.5,7.5,8
5065013305530,356,4.75,4.75,4
5010482887452,1246,1,1,7
5000159571463,1432,2.5,2.5,13
7613036193085,380,1,1,3
50157778,601,1,1,11
5410316964500,1300,1.99,1.99,21
5056053308803,114,2.75,2.75,17
7613039905920,1765,1.65,1.65,9
5060360507897,1226,1.4,1.4,22
7613035236004,1703,0.7,0.7,7
8716509102627,22,1.75,1.75,1
8723400782964,1243,1.5,1.5,7
5020535002503,797,1,1,14
6281034007164,1707,6,6,5
8001841915517,675,10.5,10.5,15
5060336500242,502,1,1,3
5010482721442,944,5,5,6
5000107011997,356,2.5,2.5,7
5016143222228,1300,0.5,0.5,7
8006540709467,602,3.06,3.06,20
5054267009981,1289,9,9,23
5010482756277,1259,1,1,12
5013803516536,544,0.5,0.5,16
5012035963484,431,1.25,1.25,20
5010482896508,1273,3.75,3.75,22
5010482786632,828,3.5,3.5,20
5099801005005,969,1,1,12
4894158029794,318,0.1,0.1,15
5034660502852,469,2.85,2.85,22
5010482384920,712,1.75,1.75,16
8004260292535,948,5,5,13
5000129283952,317,0.7,0.7,3
5391501221847,1676,2,2,19
5997523314842,102,1.75,1.75,21
850028467442,1599,5,5,12
5010482929831,1230,1,1,6
8710447372500,834,5,5,5
5010478971332,284,1,1,21
5000245001720,1371,1.65,1.65,23
5010482387938,1216,1.45,1.45,4
5390494002143,1690,2.5,2.5,24
7613033796524,413,0.5,0.5,11
5027952013624,1517,1.1,1.1,13
8445290435774,1211,2.5,2.5,13
5011376000582,1769,1.4,1.4,4
8712000037512,631,10.49,10.49,5
5010459015178,1541,0.5,0.5,15
5029053571485,469,2.5,2.5,23
5018028080886,310,1,1,19
5050028066286,472,1,1,7
5022111041036,1512,2,2,24
5000382103653,275,1.5,1.5,15
5010327305103,563,41,41,4
5032678002593,378,5.99,5.99,6
9770956807572,411,0.35,0.35,21
5000159513494,650,4,4,14
7622201679088,1527,3.5,3.5,19
5050375056886,1605,1,1,4
5024996884630,1392,2.5,2.5,2
5012035925543,1728,5,5,8
5050837430711,1573,5,5,19
5035230100027,1795,0.95,0.95,17
8717644683149,817,2,2,18
8719200070622,564,2.25,2.25,12
501048834935,414,3.5,3.5,11
5021194000091,1551,1,1,25
5010482152710,159,3.8,3.8,6
665098405184,1267,4,4,5
7613036099387,1222,1.5,1.5,25
5000159421515,409,1.5,1.5,25
5010482400392,54,2,2,21
5010605910012,917,3.85,3.85,23
5390494002518,728,1.15,1.15,15
5099286004975,1473,1,1,16
5000221002338,641,2.45,2.45,5
5060077682290,861,2,2,23
5901359074573,175,6,6,14
8006393306110,643,7.49,7.49,18
5056555203842,1547,10,10,1
5010482856878,218,2.5,2.5,16
8445290616944,1490,1,1,18
5900951277917,122,1.5,1.5,25
5000354909146,1206,1.25,1.25,6
5000128211871,132,15.55,15.55,23
6291003633027,324,1,1,4
5037713024899,872,3.95,3.95,6
5000101082979,1707,1,1,4
5026489470849,558,1.2,1.2,25
5011166061830,694,11.99,11.99,3
63211197587,1702,1,1,15
5900951314933,687,2.5,2.5,11
8006540994269,1645,1,1,22
5000354919596,1347,1.85,1.85,15
59095798,1588,1.5,1.5,10
4060800172396,423,1.4,1.4,5
8001585001088,264,1.5,1.5,25
5053827142199,1707,2,2,19
5010482842512,788,2.5,2.5,24
3535921400006,1268,8.89,8.89,5
5000159019163,1335,0.25,0.25,11
5000382008743,760,2.25,2.25,22
5056175914111,186,0.75,0.75,7
5000116127108,1352,2,2,14
5011157010403,1210,3.25,3.25,13
5010238293025,1565,2.5,2.5,25
8001841318073,823,3,3,9
5010482457907,102,2.5,2.5,15
5010482761745,248,1.5,1.5,2
31200452603,1295,1.85,1.85,1
5056586600122,1238,1.75,1.75,5
5411823869401,1242,2.5,2.5,4
5010482283766,636,2.5,2.5,23
3086126674704,1660,0.75,0.75,17
5016049086139,361,2,2,17
8445290901279,138,5,5,24
8445290934710,1744,1.75,1.75,8
5000382113232,1341,1.15,1.15,17
5012583009665,724,1,1,15
5011308048118,1758,1.5,1.5,7
5060262487143,1518,4.25,4.25,16
5056032945456,893,14.99,14.99,12
5010482280451,1776,1.75,1.75,17
5010482793920,1729,7,7,15
774629226584,1423,7.99,7.99,16
5010482898199,1702,1.75,1.75,16
5010482384883,171,1.5,1.5,16
5010092401048,1762,1.4,1.4,20
5000108704638,1509,1.25,1.25,22
5011187116878,921,2.5,2.5,17
11179690534,684,0.75,0.75,3
5099338000610,1793,3.65,3.65,7
4820008123299,255,0.5,0.5,8
5010482124076,738,4.5,4.5,16
9322214006328,657,7.25,7.25,11
5060038022844,1538,3.5,3.5,22
5010482200145,384,1.9,1.9,15
5013742510916,1614,0.99,0.99,2
5055192661121,450,10,10,10
5010821014938,897,2.5,2.5,16
5013803704018,1475,0.5,0.5,22
5011096008554,426,1.75,1.75,23
67742206312,1428,0.5,0.5,11
5013919005603,1765,10.5,10.5,18
5000168166339,1349,0.1,0.1,4
5010103001571,1600,6,6,21
5057693002076,922,14.99,14.99,5
5011321594500,644,0.75,0.75,3
5054267009981,85,9,9,21
9310676102511,411,1.5,1.5,2
5010482839543,155,1,1,23
5000245001409,1688,1.65,1.65,18
3664346340670,548,3,3,8
5078643001437,577,1.5,1.5,15
8720181092909,1568,4,4,10
5027863608605,950,5,5,7
5014348294033,768,3.5,3.5,25
5031396092923,1575,1.75,1.75,25
5010482777715,850,0.01,0.01,11
5060558350984,1658,1.75,1.75,18
5031396062841,949,3.5,3.5,9
5010029214444,597,1.25,1.25,17
5000116125272,472,5.8,5.8,3
3073781011432,364,2.41,2.41,14
5000171052421,437,1.5,1.5,2
9772052578523,728,1.6,1.6,11
5023751002326,1322,1.4,1.4,20
5010186018268,1417,5.5,5.5,19
5391533075944,318,1.5,1.5,13
8410261642420,1270,1.09,1.09,21
5709152020670,828,3,3,8
5020744700061,1538,0.75,0.75,15
5010482213909,1712,0.5,0.5,5
5010034015098,899,1,1,22
5011308002202,1309,2,2,15
8001841565255,488,3.99,3.99,11
5010482904777,202,3,3,18
8410023095471,580,2.49,2.49,3
9333527030955,305,4.99,4.99,4
5000129297331,721,2.75,2.75,15
5011962981523,1327,1,1,15
5010482402730,1205,2.55,2.55,4
5010482363758,698,0.25,0.25,8
5070000471549,307,1,1,14
5013478161147,1367,0.89,0.89,14
5052514020864,350,1,1,13
8712566134144,318,2.69,2.69,4
8435201704334,1710,1,1,13
5010482197094,420,1.75,1.75,21
5010044002293,813,1.4,1.4,8
5000147032921,735,1.4,1.4,20
8711327619678,1402,4.5,4.5,8
5000159489614,130,6,6,4
7311100328004,930,2.59,2.59,12
5000193946173,953,1.75,1.75,9
5010482781255,835,1.25,1.25,17
3023290453926,1375,1,1,9
5010069510827,270,1.89,1.89,8
5010482948825,1780,2.5,2.5,10
50107827,1631,2.25,2.25,17
8410076421074,853,1.75,1.75,25
72417178269,292,1,1,5
5099644000021,348,0.5,0.5,9
5010482148621,921,2,2,18
7322541008271,45,4.75,4.75,15
4025500138509,1582,2,2,4
5010482862671,862,6,6,19
50117758,1776,0.9,0.9,19
5060231721056,720,2,2,21
810116125005,1487,2,2,19
5056032993839,165,20,20,24
8700216689403,1518,14,14,17
898999000664,557,4.5,4.5,20
5010511471775,117,1.5,1.5,4
5000108281238,502,4,4,10
5000168158617,303,1,1,17
5010067306507,211,1.5,1.5,15
5010853253633,985,7.99,7.99,25
5796321489000,1224,19,19,15
5010482839819,211,2,2,21
5027951008034,41,1.4,1.4,19
5060327460982,1794,4,4,7
