STOREID,BARCODE,QTY_MARKDOWN,CURRENT_PRICE,ORIGINAL_PRICE
A739,0192995423268,11,9.99,9.99
A643,0000010442197,16,15,15
A590,5060338920925,12,0.59,0.59
A787,5060083167378,13,0.89,0.89
A317,5031413938517,22,1.99,1.99
A145,5055918658954,9,2.59,2.59
A120,0000013393908,4,7,7
A443,5060406144260,8,0.89,0.89
A56,8008698024065,19,1.31,1.31
A593,9770963884023,20,3.2,3.2
A106,0000011890027,19,2.49,2.49
A881,0000012834846,11,6,6
A408,0000010711316,13,3.99,3.99
A606,9770307586446,9,2.2,2.2
A477,0810020170580,12,0.89,0.89
A761,0000012892709,1,2.49,2.49
A162,9772051899100,7,3.9,3.9
A799,5060926500331,20,1.99,1.99
A8469,5050974508335,21,1.25,1.25
A941,5000328250762,21,1.95,1.95
A621,0193033103821,8,0.99,0.99
A61,0810063710880,4,1.25,1.25
A81,0000010807873,15,2.49,2.49
A599,5053990157259,22,1.29,1.29
A443,0656497015753,11,0.99,0.99
A424,0000010454169,5,1.19,1.19
A89,5000281076690,14,0.99,0.99
A55,5055918660209,12,0.99,0.99
A241,0000010342763,20,5.99,5.99
A727,9771750958354,1,2.4,2.4
A930,0000012442195,12,15,15
A854,0000010351161,24,3.99,3.99
A581,9008606224609,13,3.99,3.99
A155,5011417575161,9,2.49,2.49
A893,7622201635510,25,0.79,0.79
A256,0843536183362,20,5.79,5.79
A637,8700216502696,9,2.99,2.99
A889,0000010843758,2,9.99,9.99
A583,5060772366693,5,3.99,3.99
A134,0043194351640,24,0.49,0.49
A383,5000237128459,12,2.75,2.75
A586,0000010518847,7,9.99,9.99
A400,0000010540855,4,0.02,0.02
A178,0000011323150,1,1.29,1.29
A622,9771741340168,17,2.15,2.15
A404,9771479230038,2,2.5,2.5
A574,9770963757235,5,2.9,2.9
A669,0000012341535,13,3.5,3.5
A708,5010102118751,21,6.49,6.49
A600,7622201635596,10,0.79,0.79
A323,8888826016571,15,0.49,0.49
A350,5021538001326,15,1.09,1.09
A288,0000010880135,1,1.29,1.29
A280,8445290771414,6,1.49,1.49
A760,8445290019530,13,0.99,0.99
A157,0000010469880,11,0.79,0.79
A669,9771367059437,7,2.25,2.25
A347,0000014434082,12,7,7
A180,7613033487002,14,1.85,1.85
A595,9770961878123,12,2.15,2.15
A793,5000237136591,20,2.35,2.35
A321,9771460942179,21,2.9,2.9
A453,5034934828459,17,0.69,0.69
A149,8722900049867,18,0.49,0.49
A363,5034934828503,23,0.69,0.69
A781,0000011800200,5,1.99,1.99
A551,5060360506104,17,3.25,3.25
A619,6009544957614,3,24.99,24.99
A76,5028184201940,8,1.65,1.65
A599,9770957375230,21,2.5,2.5
A358,0000010715871,24,3.98,3.98
A588,5011417575895,9,2.49,2.49
A156,9771366780219,19,2.25,2.25
A432,6009544969679,7,19.99,19.99
A118,8700216969413,4,7.99,7.99
A780,5030756008215,23,0.49,0.49
A320,8436575095004,21,1.49,1.49
A584,0000010510636,8,2.99,2.99
A386,0000010848951,15,0.99,0.99
A197,0000012802753,20,0.49,0.49
A290,5010338200138,10,1.19,1.19
A477,5061013944199,14,1.29,1.29
A557,8721077565767,17,0.79,0.79
A260,5012427005709,2,2.69,2.69
A383,0000010664902,6,12.99,12.99
A24,5060563218378,10,2.49,2.49
A427,9770262304611,10,1.2,1.2
A889,5060766310008,10,0.99,0.99
A940,5056369131690,19,0.99,0.99
A468,9770957623218,14,1.2,1.2
A165,8712566479726,8,2.39,2.39
A123,0000010461747,9,149.99,149.99
A833,0000010674062,11,79.99,79.99
A784,4008429138331,19,4.75,4.75
A50,5060214096010,24,4.49,4.49
A826,5037028275061,4,4.99,4.99
A474,0072417130748,22,0.79,0.79
A174,0000010526286,2,0.99,0.99
A174,5054563206121,1,3.49,3.49
A384,9771741340151,14,2.15,2.15
A448,5028184201209,19,1.55,1.55
A819,9771460182711,16,3.45,3.45
A163,9770961380633,9,2.7,2.7
A240,5010996288738,8,7.99,7.99
A408,0000010380796,15,3.99,3.99
A636,0000010521342,6,1.99,1.99
A14,5038581029375,20,0.79,0.79
A621,5056709800989,8,0.29,0.29
A394,5012583204732,2,3.99,3.99
A674,5056555208588,18,4.99,4.99
A636,6097539382367,8,1.49,1.49
A825,8006540494622,20,0.99,0.99
A608,0000013518219,19,16,16
A469,5012334005847,20,1.75,1.75
A464,5061047041574,12,4.99,4.99
A648,9770958389069,13,2.6,2.6
A174,0000011323662,11,5.99,5.99
A179,5060375979283,18,2.49,2.49
A303,5000221002901,14,1.5,1.5
A585,7332531063166,22,3.49,3.49
A82,0000010538531,9,1.49,1.49
A424,8652764399030,7,0.29,0.29
A793,0000013432959,14,5,5
A124,5000354926013,8,0.49,0.49
A150,5060230119762,2,0.39,0.39
A731,0000010036174,20,0.99,0.99
A831,0000010468166,20,1.99,1.99
A739,9770957623133,2,1.2,1.2
A846,0000010339893,17,0.02,0.02
A293,0000013450229,18,10,10
A597,8700216502696,7,2.99,2.99
A931,5000116128747,10,1,1
A657,5060949541786,25,14.99,14.99
A308,0065541084155,17,6.99,6.99
A605,8005610571225,19,4.99,4.99
A316,9770957623225,25,1.2,1.2
A169,5056192410979,6,0.39,0.39
A249,5035766051183,22,2.99,2.99
A701,3574661482378,10,4.99,4.99
A19,9771745491477,25,3.3,3.3
A464,5034934827582,1,0.69,0.69
A298,0542007810478,2,2.09,2.09
A664,5000166157445,10,11.79,11.79
A812,0000010740118,4,5,5
A324,9771744033753,4,2.15,2.15
A466,4060800308252,9,1.49,1.49
A71,0000010357958,2,6.99,6.99
A240,3046920010856,5,1.49,1.49
A641,5060741617092,2,1.49,1.49
A785,9771750958132,20,2.4,2.4
A201,0000010554388,17,1.29,1.29
A126,5000159504645,24,0.75,0.75
A770,7622210839442,24,0.79,0.79
A383,0000010396100,15,2.49,2.49
A831,5060045052391,1,0.59,0.59
A439,9770016417192,13,3.15,3.15
A765,5034934828282,24,0.69,0.69
A619,5060121090200,22,0.59,0.59
A744,5033996020122,14,0.29,0.29
A728,8720182837578,25,6.99,6.99
A201,0000010314173,24,3.99,3.99
A897,5000328014791,3,1.95,1.95
A352,5201054017012,21,1.25,1.25
A378,0000010322376,12,1.99,1.99
A716,9770967309133,4,2.5,2.5
A107,3057640308338,1,0.99,0.99
A421,5000382123316,10,0.39,0.39
A383,5000225037183,21,0.29,0.29
A307,5057566061797,22,1.99,1.99
A708,5000204560435,11,1.29,1.29
A746,0000011408147,14,7.99,7.99
A475,9771353393156,19,2.15,2.15
A248,0051111407592,13,0.99,0.99
A256,0000012467273,7,4,4
A635,5019090900089,20,2.99,2.99
A147,0000011677499,20,3.99,3.99
A287,5010853972824,14,2.99,2.99
A591,8445291295810,4,1.49,1.49
A160,5055918660070,18,1.19,1.19
A456,9771462341338,4,2.2,2.2
A308,9771751627822,11,2,2
A106,9781836504320,4,2.79,2.79
A275,9770262304536,5,1.2,1.2
A594,7613036706865,17,0.85,0.85
A213,5057566857918,15,0.99,0.99
A859,0000010345023,25,3.99,3.99
A277,0000010801505,11,2.99,2.99
A198,0000013576660,14,4.99,4.99
A938,5060944461751,3,2.49,2.49
A565,9772058712006,7,6.99,6.99
A357,5060193938967,11,0.59,0.59
A383,0818786019716,19,1.99,1.99
A361,9771366777349,21,2.6,2.6
A627,8411582870264,2,4.99,4.99
A11,5000101510670,22,0.99,0.99
A417,0000010477410,23,9.99,9.99
A205,8445290357625,4,1.49,1.49
A367,9771367059062,12,2.25,2.25
A445,0000010678152,2,2.59,2.59
A114,0000010341742,16,12.99,12.99
A171,5034934828268,10,0.69,0.69
A642,0000010389508,11,9.99,9.99
A433,9770307588440,25,2.2,2.2
A270,5025514000198,20,4.35,4.35
A354,0000010386842,14,281.76,281.76
A382,5060811384626,15,5.99,5.99
A780,3614227739796,4,0.3,0.3
A723,5065020958705,10,1.49,1.49
A274,9770962164423,17,2.6,2.6
A727,9770307588228,14,2.2,2.2
A197,5060476290812,6,1.49,1.49
A266,4005555041139,2,4.99,4.99
A89,9771744598061,11,3,3
A708,0000010851531,14,39.99,39.99
A40,9771756625083,20,4.99,4.99
A146,5015934753309,16,2.99,2.99
A346,5060944460969,2,1.99,1.99
A880,0000014395192,4,15,15
A657,5000159020312,22,0.75,0.75
A68,0000010340172,19,1.99,1.99
A941,5060053605107,13,1.69,1.69
A35,6937643568069,10,0.29,0.29
A864,0000010959299,4,19.99,19.99
A435,5013692294218,9,4.99,4.99
A761,0000010421598,9,49.99,49.99
A757,0000012442423,9,10,10
A336,0615357000124,4,1.95,1.95
A797,0000010465769,23,0.99,0.99
A274,8436575098067,12,1.49,1.49
A63,5412533425369,17,2.99,2.99
A713,0000011615613,14,0.79,0.79
A463,0000010502907,23,14.99,14.99
A408,5000204123098,1,1.39,1.39
A748,5000204379020,19,0.99,0.99
A582,9771460182742,8,3.45,3.45
A616,5000354923586,18,1.19,1.19
A409,9770956805134,24,1.8,1.8
A329,5012797045107,18,1.99,1.99
A398,9771353393040,23,2.15,2.15
A56,0000050232093,11,0.59,0.59
A719,9770307521416,22,2.25,2.25
A290,8711148411741,16,0.29,0.29
A595,0000010569269,16,1.99,1.99
A282,8700216969413,9,7.99,7.99
A936,5025840005294,7,0.89,0.89
A675,5060018880174,5,2.99,2.99
A471,0000010396926,25,2.99,2.99
A118,5060926500607,10,1.99,1.99
A152,9770961878116,13,2.15,2.15
A598,0000010477267,6,14.99,14.99
A369,4005808224845,13,2.25,2.25
A82,4062139016570,16,0.29,0.29
A273,0000014385971,19,10,10
A389,5020580018382,2,1.69,1.69
A731,9770956805134,23,1.8,1.8
A57,0000014385926,11,14,14
A399,3417761913031,24,19.99,19.99
A806,5055918660117,25,1.59,1.59
A663,0000010375693,22,1,1
A623,4062139017478,22,6.99,6.99
A655,0000010632000,2,0.99,0.99
A259,5000168210360,16,0.99,0.99
A362,0000012848997,14,0.99,0.99
A863,0000084198334,25,0.19,0.19
A8563,0000010542941,11,1.99,1.99
A183,0630996965313,23,0.99,0.99
A220,5012005290107,14,1.95,1.95
A571,0656497015753,17,0.99,0.99
A836,5056192409980,25,1.19,1.19
A213,9772041596125,8,3.9,3.9
A426,5015088852873,4,3.99,3.99
A599,9771353234121,16,3.2,3.2
A191,9770966849234,3,3.99,3.99
A289,0000014395253,10,8,8
A354,9772051886438,22,2,2
A729,5054563259851,7,2.49,2.49
A137,5449000052926,18,0.79,0.79
A171,8720181406201,8,1.29,1.29
A448,0000010456262,16,7,7
A136,9770963402418,1,2.65,2.65
A163,0000012446773,16,7,7
A588,0000010341872,3,2.5,2.5
A312,5017726336325,3,0.49,0.49
A8574,0000011785934,17,1.99,1.99
A722,3454100260890,2,7.49,7.49
A747,5056369125859,22,0.89,0.89
A681,0072417154874,24,0.69,0.69
A784,5060133374879,7,0.89,0.89
A579,0000012341535,13,3.5,3.5
A171,5000118203725,14,2.49,2.49
A263,5000159558181,25,1.09,1.09
A242,4063528060884,2,1.79,1.79
A776,9770961878932,8,2.15,2.15
A37,9771748839320,24,2.25,2.25
A398,5000112674484,20,3.49,3.49
A56,5012035927592,23,0.89,0.89
A283,9771750958125,18,2.4,2.4
A800,0695929044749,21,4.99,4.99
A308,5028184201407,11,1.45,1.45
A736,8001090761873,3,2.99,2.99
A185,5050028273622,3,0.29,0.29
A889,5010993458776,15,2.99,2.99
A684,0000014442025,14,8,8
A294,9770967309225,7,2.5,2.5
A574,9771741340120,7,2.15,2.15
A200,5050665040670,16,0.49,0.49
A706,0000010989616,12,6.99,6.99
A814,9770307042232,17,2.5,2.5
A781,0000010832967,15,1.49,1.49
A158,5011962020154,24,0.69,0.69
A240,5053990168156,14,1.5,1.5
A652,9770307017056,17,1.8,1.8
A109,8690146186038,1,0.79,0.79
A65,5000171050434,21,1.75,1.75
A192,0000013677473,2,3.99,3.99
A667,7613287430946,18,0.79,0.79
A313,9772046144468,23,2.4,2.4
A582,0000010388129,20,9.99,9.99
A805,5011962020154,11,0.69,0.69
A308,0000012323791,17,1.79,1.79
A559,0000010434192,7,7,7
A199,9008606237616,9,1.49,1.49
A199,8724900700298,21,1.49,1.49
A11,8711327637696,13,3.69,3.69
A445,0000014829260,9,1.49,1.49
A219,5061015252742,19,0.69,0.69
A376,5053990127733,1,1.5,1.5
A562,5012583105091,5,3.99,3.99
A283,0000090474989,18,0.99,0.99
A244,5000159031103,16,2.79,2.79
A562,5038581020129,16,0.79,0.79
A865,5056709800996,10,0.29,0.29
A366,9770957375438,24,2.5,2.5
A322,0000014464577,3,8,8
A630,5015934888865,14,0.49,0.49
A759,5060133375869,20,1.49,1.49
A684,5056192410511,20,1.19,1.19
A397,0000013328856,25,1.5,1.5
A259,5012427096103,12,1.19,1.19
A155,6001067023777,24,1.49,1.49
A193,8724900700298,2,1.49,1.49
A331,9771465055003,15,3.1,3.1
A253,0000010526972,12,2.49,2.49
A778,5060402907289,14,1.25,1.25
A376,3030056911583,14,1.99,1.99
A829,5053249280356,16,0.99,0.99
A296,9770957375469,4,2.5,2.5
A108,5000328228082,24,1.75,1.75
A833,9771366777424,25,2.6,2.6
A372,9770266522035,12,2.8,2.8
A82,4060800309075,6,2.19,2.19
A239,0000013959326,20,12.99,12.99
A229,5060455145706,18,0.99,0.99
A223,5708932006927,11,0.69,0.69
A814,8445291528222,14,1.39,1.39
A362,5024468000230,13,2.85,2.85
A799,0000010325117,21,251.21,251.21
A827,0000010113325,15,0.99,0.99
A587,5010052114018,15,0.49,0.49
A893,8721073607300,7,0.49,0.49
A410,9770960357131,15,1.95,1.95
A390,7613036707190,18,0.85,0.85
A479,5061045730944,11,2.99,2.99
A660,0000010329559,5,7,7
A585,5000328035338,25,1.65,1.65
A135,5053990158034,21,1.75,1.75
A373,8715700421582,21,1.19,1.19
A867,8445291072305,9,1.25,1.25
A555,9781802493009,8,2.79,2.79
A465,0000010397718,9,1.99,1.99
A303,0000010341827,5,4,4
A834,8006540994399,18,2.89,2.89
A357,0000011780304,10,1.49,1.49
A366,5011792006564,10,9.49,9.49
A155,3600522626060,17,1.99,1.99
A576,0000012669103,15,6.99,6.99
A267,0000010528181,24,9.99,9.99
A167,0000010610756,13,9.99,9.99
A831,9770957375131,22,2.5,2.5
A678,0000011323297,6,6.99,6.99
A255,7622202256806,13,0.99,0.99
A879,9771467702257,10,0.85,0.85
A613,0000010004876,21,3.49,3.49
A571,9771350069030,2,3.2,3.2
A570,0000010086551,17,3.99,3.99
A724,9771366777417,4,2.6,2.6
A76,0000010340585,9,9.99,9.99
A459,0000010442029,23,8,8
A249,5449000130228,25,7.99,7.99
A633,8720181558733,19,2.99,2.99
A476,5059001000149,19,9.99,9.99
A95,0000010500040,18,2.49,2.49
A383,5031416451013,15,0.89,0.89
A304,9772051886056,25,2,2
A639,5034934826875,17,0.69,0.69
A348,9771353432121,4,3.15,3.15
A101,9772051886315,13,2,2
A669,9770307586439,18,2.2,2.2
A611,5057566125833,2,1.69,1.69
A938,0000011788416,6,1.79,1.79
A89,8715000934720,24,1.45,1.45
A436,0000010420430,14,15,15
A665,0000010341292,14,0.02,0.02
A136,0000010786536,1,1.99,1.99
A190,5050841688115,3,9.99,9.99
A413,3616302989010,16,1.99,1.99
A317,0000011841579,10,1.99,1.99
A779,5000325055599,2,5.99,5.99
A133,0000011382737,15,1,1
A602,9770956806438,25,1.8,1.8
A797,5029053581194,25,3.49,3.49
A236,8721201909085,24,1.89,1.89
A349,5033996019034,20,0.59,0.59
A821,8001090369079,15,2.49,2.49
A192,8681161446320,13,0.59,0.59
A384,5059001003669,12,1.99,1.99
A938,5060944461560,10,2.49,2.49
A107,0000010008249,14,7.99,7.99
A619,5056709800972,18,0.29,0.29
A814,0000012000289,7,3.99,3.99
A197,8008743059882,15,0.49,0.49
A613,5034709004323,8,1,1
A331,8445291292123,11,1.49,1.49
A887,0000012848997,24,0.99,0.99
A361,5060944461850,19,1.49,1.49
A56,9772046144451,14,2,2
A274,4000349500007,17,0.29,0.29
A390,0000012467211,4,4,4
A445,8003360350756,16,6.99,6.99
A763,0194735309818,19,9.99,9.99
A282,7340776452218,12,0.29,0.29
A285,5060455148042,14,0.99,0.99
A397,9771479792178,25,3.99,3.99
A861,5010102000841,7,0.29,0.29
A284,5010394003551,19,0.95,0.95
A203,0000010540374,21,4.99,4.99
A436,0000010339725,19,0.02,0.02
A135,5056239472281,15,0.99,0.99
A648,5060595854674,4,2.49,2.49
A37,8722900022730,8,0.99,0.99
A758,8700216051835,13,4.99,4.99
A854,9770958327351,22,1.35,1.35
A56,0000010347508,1,49.99,49.99
A689,0000010325230,15,5,5
A367,5034934836492,17,0.99,0.99
A870,5900951028502,11,1.09,1.09
A176,5034934828220,10,0.69,0.69
A768,5060040253915,12,2.29,2.29
A211,8700216733939,5,9.99,9.99
A774,5010052111635,22,0.49,0.49
A88,0000011411888,16,0.99,0.99
A408,9770957623331,11,1.2,1.2
A391,0000011010364,21,1.79,1.79
A475,5012035954864,11,0.29,0.29
A35,0191726747987,15,7.99,7.99
A427,9771750958149,13,2.4,2.4
A679,5053249280356,2,0.99,0.99
A944,7622202245343,2,1.75,1.75
A674,0000010398067,25,2.49,2.49
A626,5057566125987,3,1.69,1.69
A59,0194735183654,6,7.99,7.99
A626,5449000323118,21,1.99,1.99
A129,0000010347225,23,5.99,5.99
A821,0072417336249,25,0.99,0.99
A688,0000013420437,23,15,15
A428,5059001021809,20,5.49,5.49
A943,9772051899117,14,3.9,3.9
A95,9770214388171,1,3.8,3.8
A829,5000382112709,1,0.49,0.49
A667,0811748030026,11,0.49,0.49
A356,0000010384336,23,7,7
A801,5028184202800,15,1.45,1.45
A431,0000010371985,17,2.49,2.49
A679,5000101516573,7,1.49,1.49
A938,9770963757259,5,2.9,2.9
A89,5711938032111,6,1.99,1.99
A702,5029053508863,14,1.49,1.49
A726,8722900048723,3,0.49,0.49
A23,5998749135624,10,0.95,0.95
A411,5055918660070,8,1.19,1.19
A101,5028184202046,6,1.79,1.79
A8469,5905868421187,5,0.99,0.99
A636,5060903870280,1,1.99,1.99
A713,0000010389713,3,1.29,1.29
A708,9770967309034,8,2.5,2.5
A717,5032608096272,2,0.99,0.99
A686,8001090784810,18,3.49,3.49
A681,3030056911583,10,1.99,1.99
A93,5028141034222,12,2.99,2.99
A475,0000011685623,17,0.99,0.99
A245,0000013330750,9,4,4
A122,8436575095042,2,1.49,1.49
A157,5061015253688,19,0.99,0.99
A660,5055394026100,12,1.99,1.99
A77,5031416451013,16,0.89,0.89
A331,8720181428685,8,0.89,0.89
A210,5013692267793,23,0.99,0.99
A405,0011152216805,3,1.29,1.29
A338,0072417160387,6,1.25,1.25
A249,9770960357216,23,1.95,1.95
A795,0067981087086,11,0.99,0.99
A933,9771366780066,6,3.25,3.25
A835,0000010341544,14,2.99,2.99
A65,0656497452268,19,2.99,2.99
A359,5000382108245,24,6.49,6.49
A867,0000010832967,8,1.49,1.49
A695,5000382114888,16,0.99,0.99
A361,5000328035529,11,1.75,1.75
A361,8445291455719,24,1.89,1.89
A237,5011962210029,23,0.69,0.69
A756,9772051886070,20,2.3,2.3
A375,9770963402210,17,2.65,2.65
A136,0000014864346,8,13,13
A889,5055193545512,13,2.99,2.99
A685,5060146326667,4,0.42,0.42
A137,3057640316098,13,0.99,0.99
A849,5021538003184,18,1.95,1.95
A602,8681161446320,14,0.59,0.59
A762,5060476290812,13,1.25,1.25
A333,8720181044786,2,2.99,2.99
A134,5060903877890,24,0.69,0.69
A693,0000013359911,22,12,12
A114,9770963402128,1,2.65,2.65
A319,9771748839139,22,2.25,2.25
A417,0000010355107,13,2.49,2.49
A346,0021664710449,15,8.99,8.99
A369,5055918660292,23,1.79,1.79
A574,8720181703911,2,6.99,6.99
A767,0011732007960,14,0.75,0.75
A578,0000014521720,5,6,6
A580,5034934829982,9,0.79,0.79
A108,5000204379327,24,3.99,3.99
A627,5023674212130,24,1.99,1.99
A174,5059001014078,10,2.49,2.49
A420,5010272201246,15,14.99,14.99
A750,9770956805554,12,1.8,1.8
A700,9770961380640,24,2.7,2.7
A705,5056025473577,6,8.99,8.99
A276,9771750958026,25,2.4,2.4
A712,0000013959326,11,8.66,8.66
A659,5000171058867,1,3.65,3.65
A829,5050841688115,15,9.99,9.99
A728,5032608077677,8,0.79,0.79
A425,0000010523964,24,29.99,29.99
A559,9770307042355,8,2.5,2.5
A883,0000010519585,14,7.99,7.99
A458,0072417336249,10,0.99,0.99
A716,9771746706419,24,1.9,1.9
A718,0000010681121,14,0.15,0.15
A742,5050360015225,18,1.29,1.29
A658,0615908425994,20,3.35,3.35
A55,8801043055659,18,1,1
A370,5900334007384,3,1.49,1.49
A196,0000010541562,6,0.02,0.02
A468,3800020415009,16,0.79,0.79
A663,0840056146617,3,0.49,0.49
A356,5021538000466,2,0.85,0.85
A559,9772399519104,6,3.3,3.3
A467,8710908710773,23,2.25,2.25
A932,9772051886056,15,2,2
A385,0000010754474,9,2.99,2.99
A750,5055918653522,8,2.09,2.09
A318,4063528058942,13,0.99,0.99
A107,0000010736890,14,3.49,3.49
A563,0000010527160,4,1.49,1.49
A696,5060120179876,2,0.89,0.89
A439,5012005290107,25,1.95,1.95
A400,9771353393231,1,2.15,2.15
A804,0000011340171,21,1.99,1.99
A721,5000328250762,2,1.95,1.95
A715,0000012464579,19,8,8
A742,5060615780846,16,1.09,1.09
A576,4260163330246,22,1.29,1.29
A172,0000010323397,24,2.49,2.49
A384,0000011340164,14,1.49,1.49
A250,9770961878031,15,1.2,1.2
A50,5701390670174,16,0.49,0.49
A717,7622210836687,10,0.79,0.79
A134,0000010360576,18,13,13
A580,0000010433591,25,0.99,0.99
A8307,8445291007130,6,2.99,2.99
A790,5000168188355,21,0.99,0.99
A589,5010338200138,10,1.19,1.19
A804,5000112658156,8,0.49,0.49
A589,0000011890027,22,2.49,2.49
A387,5000204379235,17,3.99,3.99
A735,0000013516871,22,1.99,1.99
A370,8700216738583,11,5.49,5.49
A637,0000010328385,4,10,10
A469,5013692273619,20,4.99,4.99
A106,9770963402227,8,2.65,2.65
A753,9770961100132,25,3.4,3.4
A214,5010993458790,14,2.99,2.99
A146,8711000279410,8,6.49,6.49
A827,5010394001502,4,0.95,0.95
A616,0000010451199,12,1.49,1.49
A616,0000013467272,2,4,4
A417,9771479230434,13,2.5,2.5
A725,5013692253550,15,0.99,0.99
A268,0000010334584,3,0.02,0.02
A441,9771756625809,24,5.5,5.5
A720,9770956806445,5,1.8,1.8
A154,5053990168156,13,0.32,0.32
A441,0000010010365,23,1.79,1.79
A800,0000010513132,2,0.02,0.02
A580,5017375035334,14,0.49,0.49
A787,0000010445044,22,12.99,12.99
A77,0000010356821,21,3.99,3.99
A433,8700216464987,14,11.79,11.79
A581,9771479230236,12,2.5,2.5
A836,8700216916585,17,2.99,2.99
A812,5054267501072,13,2.49,2.49
A740,0000011418603,25,7,7
A252,5060009552547,2,3.49,3.49
A387,9770967309058,5,2.5,2.5
A589,5000204317503,3,1.29,1.29
A658,0655762000111,2,1.49,1.49
A135,9770141055900,5,3.99,3.99
A869,0000010277935,7,2.99,2.99
A706,9772054537078,20,2.5,2.5
A176,3616302484225,20,1.99,1.99
A720,0888888112325,22,1.99,1.99
A469,7613034276223,11,24.99,24.99
A608,5053249276243,18,1.49,1.49
A407,5020535020927,19,0.69,0.69
A161,9771353393453,13,2.15,2.15
A305,3614225213359,20,1.99,1.99
A585,5060950965915,25,3.49,3.49
A468,5028184401104,23,1.39,1.39
A889,0000012396610,10,3.99,3.99
A83,9770961878161,7,2.15,2.15
A693,5010338301569,5,0.89,0.89
A152,9771748839122,10,2.25,2.25
A199,9770967309133,10,2.5,2.5
A576,8886467040306,14,3.49,3.49
A591,9770307017063,7,2.6,2.6
A382,0000012432950,6,5,5
A642,0000013442422,16,10,10
A440,0000010343029,18,7.99,7.99
A667,7613287803887,8,1.85,1.85
A393,8717163020524,1,0.89,0.89
A555,8001090784810,10,3.49,3.49
A401,5000177500391,8,0.99,0.99
A441,5701390670204,9,0.49,0.49
A333,0818786014544,18,2.99,2.99
A137,0656497021396,21,2.99,2.99
A372,5060045053121,19,0.99,0.99
A352,5060517880613,10,0.79,0.79
A379,7613034582454,15,1.75,1.75
A374,8720077215771,1,1.99,1.99
A864,5060372809071,10,0.69,0.69
A870,0000011408147,23,7.99,7.99
A614,5034934827681,5,0.69,0.69
A214,9770956805325,13,1.8,1.8
A221,8056379126799,16,1.99,1.99
A608,0000010529232,16,0.05,0.05
A206,5010994104474,17,5.99,5.99
A358,5053249279596,14,1.49,1.49
A837,5060710512816,11,0.29,0.29
A254,6937080557749,13,1.99,1.99
A188,9770307586057,15,2.2,2.2
A244,0000010386156,23,1.99,1.99
A175,9771744598054,11,2.5,2.5
A585,9772051111646,11,2.3,2.3
A50,0000010449684,14,4.5,4.5
A451,5060615781065,21,0.99,0.99
A578,5010853972855,18,7.99,7.99
A186,5061048012238,17,0.99,0.99
A646,9771366777127,22,2.6,2.6
A237,0000096199879,17,0.69,0.69
A8563,5010338016630,20,0.89,0.89
A229,9772058712006,10,8.99,8.99
A740,5060214096003,12,4.49,4.49
A92,0000010634035,13,1.49,1.49
A867,0000010478196,16,14.99,14.99
A872,5060230119762,9,0.39,0.39
A313,0083800068074,13,0.29,0.29
A209,5060689240239,25,1.69,1.69
A620,9770956806223,12,1.8,1.8
A595,5010993458776,16,2.99,2.99
A554,9770307521126,24,2.25,2.25
A468,5060057801697,21,2.59,2.59
A95,5010996308030,24,16.99,16.99
A322,0000013323882,24,1.29,1.29
A366,8720181659423,17,1.99,1.99
A369,5000237126868,15,1.65,1.65
A826,0000012085804,6,4.99,4.99
A552,0000010426425,17,0.02,0.02
A861,0000012356782,25,9,9
A383,5060133376712,6,1.49,1.49
